ID,Elapsed Time (s),Acceleration_x,Acceleration_y,Acceleration_z,Gravity_x,Gravity_y,Gravity_z,Angular Velocity_x,Angular Velocity_y,Angular Velocity_z,Orientation_x,Orientation_y,Orientation_z,Character
1,2.93300035991706E-06,1.56820213794708,-2.77009129524231,9.34935760498047,1.64432907104492,-2.80507636070251,9.25192451477051,-0.0134390350431204,0.0122173046693206,0.019547687843442,0.0592500008642674,-0.1526869982481,0.976565003395081,Hello
1,0.0006403180013876,1.4484920501709,-2.90177249908447,9.37569427490234,1.63970172405243,-2.8111207485199,9.25091171264648,-0.0342084541916847,0.00855211354792118,0.0232128798961639,0.0592500008642674,-0.1526869982481,0.976565003395081,Hello
1,0.0013480350025929,1.52031803131104,-2.81079268455505,9.31583881378174,1.63753640651703,-2.81986856460571,9.24863243103027,-0.0415388382971287,0.00610865233466029,0.0171042270958424,0.0582659989595413,-0.152832999825478,0.976688027381897,Hello
1,0.0477767570009746,1.55383694171906,-2.82515811920166,9.3828763961792,1.6346640586853,-2.82798290252686,9.2466630935669,-0.0280998013913631,0.00855211354792118,0.0183259565383196,0.0582659989595413,-0.152832999825478,0.976688027381897,Hello
1,0.0506146059997263,1.53707754611969,-2.85388851165772,9.32781028747559,1.6333327293396,-2.82938742637634,9.24646854400635,-0.0366519130766392,0.00122173049021512,0.0134390350431204,0.0582659989595413,-0.152832999825478,0.976688027381897,Hello
1,0.0513402020005742,1.53228902816772,-2.88261890411377,9.31823348999023,1.63295638561249,-2.83368110656738,9.24522018432617,-0.0268780700862408,-0.00244346098043025,0.0207694191485643,0.0582659989595413,-0.152832999825478,0.976688027381897,Hello
1,0.0518953120008518,1.52271223068237,-2.70544791221619,9.31583881378174,1.64770460128784,-2.80491924285889,9.25137233734131,0.00366519158706069,0.0171042270958424,0.0134390350431204,0.0592500008642674,-0.1526869982481,0.976565003395081,Hello
1,0.0967257539996353,1.47482824325562,-2.75572609901428,9.32541561126709,1.63141167163849,-2.8361611366272,9.24473190307617,0.00244346098043025,0.00488692196086049,0.01588249579072,0.0582659989595413,-0.152832999825478,0.976688027381897,Hello
1,0.0973252139992837,1.56101953983307,-2.79163908958435,9.35654067993164,1.62808108329773,-2.83533358573914,9.24557304382324,0.00366519158706069,0.00122173049021512,0.0219911485910416,0.0582659989595413,-0.152832999825478,0.976688027381897,Hello
1,0.0992498699997668,1.4867992401123,-2.84910011291504,9.34456920623779,1.62631392478943,-2.8351845741272,9.24592971801758,-0.00244346098043025,-0.00244346098043025,0.019547687843442,0.0578490011394024,-0.153677999973297,0.976701974868774,Hello
1,0.145580952001183,1.48440504074097,-2.73417830467224,9.30626201629639,1.6250764131546,-2.83624148368835,9.24582290649414,-0.0232128798961639,-0.00122173049021512,0.0109955742955208,0.0578490011394024,-0.153677999973297,0.976701974868774,Hello
1,0.146158411000215,1.57059633731842,-2.82036972045898,9.27274322509766,1.62643265724182,-2.84409832954407,9.24317073822022,-0.0366519130766392,-0.00488692196086049,0.01588249579072,0.0578490011394024,-0.153677999973297,0.976701974868774,Hello
1,0.195026600002166,1.52989482879639,-2.86107110977173,9.28471374511719,1.62793004512787,-2.85195755958557,9.24048614501953,-0.0207694191485643,-0.00122173049021512,0.00855211354792118,0.0578490011394024,-0.153677999973297,0.976701974868774,Hello
1,0.19553198200083,1.44130945205688,-2.85149431228638,9.29907894134522,1.62674379348755,-2.85389161109924,9.24009799957275,0.00855211354792118,0.00122173049021512,0.00610865233466029,0.0578490011394024,-0.153677999973297,0.976701974868774,Hello
1,0.196105601000454,1.50834703445435,-2.7629086971283,9.35654067993164,1.62447667121887,-2.8503532409668,9.2415885925293,0.0109955742955208,0.00733038317412138,0.00244346098043025,0.0577009990811348,-0.154396995902061,0.976671993732452,Hello
1,0.242806849000772,1.59693253040314,-2.78445649147034,9.39724159240723,1.6232453584671,-2.84887957572937,9.24225902557373,-0.0183259565383196,0.00122173049021512,0.00733038317412138,0.0577009990811348,-0.154396995902061,0.976671993732452,Hello
